id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
95;General Pardiñas;2;90;Calle Goya nº 18;1;0;30;18;12;0;{'type': 'Point', 'coordinates': [-3.6837876, 40.4250361]};2020-12-08T20:15:09.899130
96;Príncipe de Vergara;0;91;Calle Hermosilla nº 70;1;0;24;5;16;0;{'type': 'Point', 'coordinates': [-3.6787441, 40.426134]};2020-12-08T20:15:09.899130
97;Claudio Coello;0;92;Calle Claudio Coello nº 45;1;0;24;1;22;0;{'type': 'Point', 'coordinates': [-3.6865463, 40.4262945]};2020-12-08T20:15:09.899130
98;Plaza de Colón;2;93;Calle Goya nº 1;1;0;24;11;11;0;{'type': 'Point', 'coordinates': [-3.6893698, 40.4257046]};2020-12-08T20:15:09.899130
99;Biblioteca Nacional;2;94;Paseo de Recoletos nº 32-34;1;0;21;10;10;0;{'type': 'Point', 'coordinates': [-3.690756, 40.4232153]};2020-12-08T20:15:09.899130
100;Villanueva;0;95;Calle Claudio Coello nº 19;1;0;24;1;21;0;{'type': 'Point', 'coordinates': [-3.6870548, 40.4226584]};2020-12-08T20:15:09.899130
101;Castelló;2;96;Calle Alcalá nº 111;1;0;27;15;11;0;{'type': 'Point', 'coordinates': [-3.6821793, 40.422064]};2020-12-08T20:15:09.899130
102;Alcalá;1;97;Avenida de Menéndez Pelayo nº 3;1;0;27;18;8;0;{'type': 'Point', 'coordinates': [-3.6805189, 40.4222969]};2020-12-08T20:15:09.899130
103;Plaza de Felipe II;2;98;Plaza de Felipe II;1;0;24;7;14;0;{'type': 'Point', 'coordinates': [-3.6758383, 40.4239447]};2020-12-08T20:15:09.899130
104;Alcántara;0;99;Calle Alcántara nº 2;1;0;24;4;18;0;{'type': 'Point', 'coordinates': [-3.6738714, 40.4261851]};2020-12-08T20:15:09.899130
105;Palacio de Deportes;1;100;Calle Goya nº 99;1;0;24;17;7;0;{'type': 'Point', 'coordinates': [-3.67384, 40.42478]};2020-12-08T20:15:09.899130
106;Jorge Juan;3;101;Calle Jorge Juan nº 131;1;1;24;0;0;0;{'type': 'Point', 'coordinates': [-3.6691524, 40.4231526]};2020-12-08T20:15:09.899130
107;Velázquez;2;102;Calle Alcalá nº 95;1;0;24;15;8;0;{'type': 'Point', 'coordinates': [-3.6840229, 40.4211802]};2020-12-08T20:15:09.899130
108;Ortega y Gasset;2;103;Calle Ortega y Gasset nº 6;1;0;24;13;11;0;{'type': 'Point', 'coordinates': [-3.68653, 40.43037]};2020-12-08T20:15:09.899130
109;Castellana;2;104;Paseo de la Castellana nº 4;1;0;21;12;9;0;{'type': 'Point', 'coordinates': [-3.68958, 40.42677]};2020-12-08T20:15:09.899130
110;Serrano;2;105;Calle Serrano nº 54;1;0;24;11;12;0;{'type': 'Point', 'coordinates': [-3.68745, 40.42699]};2020-12-08T20:15:09.899130
111;Colón A;0;106a;Calle Serrano nº 34;1;0;18;5;13;0;{'type': 'Point', 'coordinates': [-3.6877227, 40.4251002]};2020-12-08T20:15:09.899130
112;Colón B;0;106b;Calle Serrano nº 34;1;0;18;3;14;0;{'type': 'Point', 'coordinates': [-3.687745, 40.424963]};2020-12-08T20:15:09.899130
113;Columela;1;107;Calle Serrano nº 6;1;0;24;21;3;0;{'type': 'Point', 'coordinates': [-3.6884369, 40.4215246]};2020-12-08T20:15:09.899130
114;Mártires Concepcionistas;0;108;Calle Mártires Concepcionistas nº 2;1;0;27;4;21;0;{'type': 'Point', 'coordinates': [-3.6706024, 40.4273005]};2020-12-08T20:15:09.899130
115;Marqués de Salamanca;1;109;Calle José Ortega y Gasset nº 30;1;0;24;20;3;0;{'type': 'Point', 'coordinates': [-3.6816402, 40.4300481]};2020-12-08T20:15:09.899130
116;Moncloa;0;110;Paseo de Moret nº 2;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.7200845, 40.4347895]};2020-12-08T20:15:09.899130
117;Arcipreste de Hita A;0;111a;Calle Arcipreste de Hita nº 12;1;0;24;2;21;0;{'type': 'Point', 'coordinates': [-3.7175435, 40.4337322]};2020-12-08T20:15:09.899130
118;Arcipreste de Hita B;0;111b;Calle Arcipreste de Hita nº 12;1;0;24;2;22;0;{'type': 'Point', 'coordinates': [-3.7179687, 40.4341006]};2020-12-08T20:15:09.899130
119;Paseo de Moret;2;112;Paseo de Moret nº 11;1;0;24;8;15;0;{'type': 'Point', 'coordinates': [-3.7246532, 40.4325991]};2020-12-08T20:15:09.899130
120;Pintor Rosales;0;113;Paseo del Pintor Rosales nº 38;1;0;24;6;18;0;{'type': 'Point', 'coordinates': [-3.7205129, 40.427657]};2020-12-08T20:15:09.899130
121;Quintana;0;114;Calle Quintana nº 11-13;1;0;24;6;18;0;{'type': 'Point', 'coordinates': [-3.7174158, 40.4277456]};2020-12-08T20:15:09.899130
122;Ferraz;2;115;Calle Evaristo San Miguel nº 2;1;0;24;10;13;0;{'type': 'Point', 'coordinates': [-3.7170448, 40.4253944]};2020-12-08T20:15:09.899130
123;Plaza de España A;1;116a;Plaza de España;1;0;24;20;4;0;{'type': 'Point', 'coordinates': [-3.711603, 40.42402]};2020-12-08T20:15:09.899130
124;Plaza de España B;2;116b;Plaza de España;1;0;24;12;12;0;{'type': 'Point', 'coordinates': [-3.711703, 40.42412]};2020-12-08T20:15:09.899130
125;Altamirano;2;117;Calle Altamirano nº 24;1;0;24;8;15;0;{'type': 'Point', 'coordinates': [-3.7188898, 40.4309797]};2020-12-08T20:15:09.899130
126;Juan Martín;2;118;Calle Juan Martín el Empecinado nº 14;1;0;24;12;11;0;{'type': 'Point', 'coordinates': [-3.6882407, 40.400781]};2020-12-08T20:15:09.899130
127;Méndez Álvaro;2;119;Calle Méndez Álvaro nº 11;1;0;24;8;15;0;{'type': 'Point', 'coordinates': [-3.6863218, 40.4013216]};2020-12-08T20:15:09.899130
128;Palos de la Frontera;2;120;Calle Palos de la Frontera nº 40;1;0;24;12;11;0;{'type': 'Point', 'coordinates': [-3.6944768, 40.4032208]};2020-12-08T20:15:09.899130
129;Santa María de la Cabeza;0;121;Paseo de Santa María de la Cabeza nº 58;1;0;24;1;21;0;{'type': 'Point', 'coordinates': [-3.6987665, 40.4017926]};2020-12-08T20:15:09.899130
130;Santa Engracia 14;0;122;Calle Santa Engracia nº 14;1;0;24;2;21;0;{'type': 'Point', 'coordinates': [-3.6967169, 40.4291992]};2020-12-08T20:15:09.899130
